Coluna (Sheets),Nome da Coluna (SSOT),Tipo (Sheets),Obrigatoriedade,Descrição
AL,horizonte_extracao,TEXT,NOT NULL,"Enum estrito do timing de extração. Valores canônicos: IMEDIATO | CURTO_PRAZO | CURTO_MEDIO_PRAZO | MEDIO_PRAZO | LONGO_PRAZO | REFERENCIAL_TEORICO | NUNCA."
AM,tipo_integracao,TEXT,NOT NULL,Enum humanizado do tipo de integração.
AN,capability_nature_primary,TEXT,NOT NULL,"Enum estrito da natureza primária da capacidade. Valores canônicos: Context | Memory | Perception | Expression | Execution | Observation | Documentation | Planning | Curation | Identity | Infrastructure | Multimodal IO | Sandbox | Serving | Retrieval | Synchronization."
AO,architectural_topology,TEXT,NOT NULL,Enum humanizado da topologia arquitetural.
AP,temporal_stability,TEXT,NOT NULL,Enum humanizado da estabilidade temporal.
AQ,bare_metal_fit,TEXT,NOT NULL,Enum humanizado do fit bare-metal.
AR,extractability_level,TEXT,NOT NULL,Enum humanizado do nível de extraibilidade.
AS,runtime_sovereignty_fit,TEXT,NOT NULL,Enum humanizado da soberania de runtime.
AT,local_first_fit,TEXT,NOT NULL,Enum humanizado do fit local-first.
AU,adoptability_level,TEXT,NOT NULL,Enum humanizado de adotabilidade.
AV,longitudinal_sustainability,TEXT,NOT NULL,Enum humanizado de sustentabilidade longitudinal.
AW,maintenance_burden,TEXT,NOT NULL,Enum humanizado do fardo de manutenção.
AX,onboarding_friction,TEXT,NOT NULL,Enum humanizado da fricção de onboarding.
AY,observability_operational,TEXT,NOT NULL,Enum humanizado de observabilidade operacional.
AZ,recoverability_level,TEXT,NOT NULL,Enum humanizado de recuperabilidade.
BA,degradation_behavior,TEXT,NOT NULL,Enum humanizado do comportamento sob degradação.
BB,curation_burden,TEXT,NOT NULL,Enum humanizado do fardo de curadoria.
BC,evolution_cost,TEXT,NOT NULL,Enum humanizado do custo de evolução.
BD,operability_level,TEXT,NOT NULL,Enum humanizado de operabilidade.
BE,abandonment_risk,TEXT,NOT NULL,Enum humanizado do risco de abandono.
BF,time_to_first_clear_value,TEXT,NOT NULL,Enum humanizado do tempo para primeiro valor claro.
BG,imperfection_tolerance,TEXT,NOT NULL,Enum humanizado de tolerância a imperfeição.
BH,entropy_risk,TEXT,NOT NULL,Enum humanizado do risco de entropia.
BI,design_misuse_risk,TEXT,NOT NULL,Enum humanizado do risco de mau uso.
BJ,intrinsic_ethics_risk,TEXT,NOT NULL,Enum humanizado do risco ético intrínseco.
BK,discipline_dependency,TEXT,NOT NULL,"Enum estrito de dependência disciplinar. Valores canônicos: Nenhuma | Baixa | Média | Alta | Crítica."
BL,regulatory_risk,TEXT,NOT NULL,Enum humanizado do risco regulatório.
BM,score_philosophical_fit,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BN,score_bare_metal_fit,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BO,score_architectural_extractability,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BP,score_operability,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BQ,score_creep_risk,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BR,score_runtime_sovereignty,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BS,score_model_logic_value,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BT,score_ethics_safety,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BU,score_intrinsic_risk,TEXT,NOT NULL,Score inteiro 0–10 (serializado como texto).
BV,score_final,TEXT,NOT NULL,"Score final float, 1 casa decimal (texto)."
BW,score_fit_geral_souls,TEXT,NOT NULL,"Score fit geral float, 1 casa decimal (texto)."
BX,score_architectural_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
BY,score_human_product_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
BZ,score_absorption_readiness,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
CA,score_operational_priority,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
CB,score_sustainability_adjusted_fit,TEXT,NOT NULL,"Score derivado float, 1 casa decimal (texto)."
CC,valid_from,TEXT,NOT NULL,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ)."
CD,valid_to,TEXT,-,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ) ou vazio."
CE,embargo_status,TEXT,NOT NULL,"LIVRE ou EMBARGADO."
